Identificador,Producto,Categoria,Precio
1245,Muñeca Barbie 5946,Juguetes,4597.87
1246,Batidora KitchenAid 6243,Hogar,11049.88
1247,Vestido Zara 1164,Ropa,4155.16
1248,Lapicera Maped 3042,Papelería,12624.34
1249,Tijeras Fiskars 2990,Papelería,10909.1
1250,Audífonos Sony 5722,Electrónica,13861.46
1251,Rompecabezas Ravensburger 2804,Juguetes,17251.74
1252,Puzzle 3D CubicFun 2594,Juguetes,12852.67
1253,Refrigerador Mabe 7575,Hogar,847.04
1254,Jeans Wrangler 8473,Ropa,13927.37
1255,Zapatos Clarks 7763,Calzado,64.67
1256,Post-it 3M 5814,Papelería,5811.86
1257,Chanclas Adidas 5659,Calzado,18742.73
1258,Pantalón Levi's 2923,Ropa,7715.28
1259,Botines Dr Martens 4773,Calzado,6409.92
1260,Tenis Vans 4508,Calzado,233.67
1261,Tijeras Fiskars 5800,Papelería,6772.69
1262,Lapicera Maped 8029,Papelería,5721.33
1263,Marcadores Sharpie 5424,Papelería,7955.43
1264,Lego Star Wars 8956,Juguetes,9247.63
1265,Pluma Bic 7598,Papelería,5673.35
1266,Monitor Dell 7576,Electrónica,11725.84
1267,Falda Bershka 3739,Ropa,6879.49
1268,Figura Funko Pop 3325,Juguetes,5771.51
1269,Cafetera Nespresso 7313,Hogar,17799.73
1270,Carro Hot Wheels 666,Juguetes,9446.79
1271,Traje Hugo Boss 9155,Ropa,3618.72
1272,Falda Bershka 5884,Ropa,10228.62
1273,Marcadores Sharpie 941,Papelería,9307.84
1274,Short Puma 5122,Ropa,11706.65
1275,Figura Funko Pop 4116,Juguetes,13848.3
1276,Chanclas Adidas 6414,Calzado,11010.06
1277,Drone DJI Mini 7948,Juguetes,16128.63
1278,Botas Timberland 443,Calzado,9076.95
1279,Falda Bershka 1762,Ropa,16779.21
1280,Plancha Philips 5878,Hogar,11016.14
1281,Sudadera Adidas 2307,Ropa,9514.95
1282,Post-it 3M 422,Papelería,11685.52
1283,Zapatillas Skechers 8376,Calzado,14909.92
1284,Plancha Philips 2051,Hogar,16941.19
1285,Pelota Nerf 4714,Juguetes,5641.3
1286,Teléfono Samsung 4495,Electrónica,463.96
1287,Tenis Vans 9427,Calzado,15722.14
1288,Audífonos Sony 1659,Electrónica,388.21
1289,Sandalias Crocs 340,Calzado,19959.32
1290,Botas Timberland 3300,Calzado,5877.56
1291,Cuaderno Oxford 3447,Papelería,15050.89
1292,Cuaderno Oxford 2526,Papelería,9247.28
1293,Sudadera Adidas 9142,Ropa,10834.64
1294,Tenis Vans 795,Calzado,14082.2
1295,Consola Xbox 8476,Electrónica,5772.96
1296,Laptop Lenovo 8740,Electrónica,10738.05
1297,Chanclas Adidas 7851,Calzado,11782.9
1298,Tacones Steve Madden 9917,Calzado,4257.94
1299,Audífonos Sony 2347,Electrónica,1727.9
1300,Libreta 90 hojas Scribe 4400,Papelería,18499.94
1301,Pluma Bic 8095,Papelería,14049.22
1302,Plancha Philips 2478,Hogar,17129.99
1303,Botas Timberland 5214,Calzado,12872.91
1304,Pluma Bic 8331,Papelería,9698.31
1305,Tijeras Fiskars 5764,Papelería,3733.02
1306,Vestido Zara 1612,Ropa,13670.52
1307,Cuaderno Oxford 6892,Papelería,11628.36
1308,Smartwatch Garmin 6370,Electrónica,11468.01
1309,Rompecabezas Ravensburger 3473,Juguetes,11427.67
1310,Tijeras Fiskars 1133,Papelería,5552.5
1311,Tenis Converse 9866,Calzado,15623.4
1312,Batidora KitchenAid 8235,Hogar,3423.75
1313,Refrigerador Mabe 491,Hogar,19262.74
1314,Tren Thomas 6292,Juguetes,6871.22
1315,Televisor LG 278,Electrónica,13378.74
1316,Puzzle 3D CubicFun 5100,Juguetes,19441.28
1317,Tijeras Fiskars 8596,Papelería,3956.35
1318,Cámara Canon 4714,Electrónica,9156.19
1319,Televisor LG 1990,Electrónica,10598.54
1320,Libreta 90 hojas Scribe 8652,Papelería,11166.62
1321,Pelota Nerf 9996,Juguetes,13312.23
1322,Ventilador Taurus 9218,Hogar,18629.79
1323,Smartwatch Garmin 7730,Electrónica,14917.91
1324,Chanclas Adidas 6699,Calzado,11189.49
1325,Monitor Dell 2786,Electrónica,3246.61
1326,Post-it 3M 1618,Papelería,15735.9
1327,Tenis Vans 4604,Calzado,1846.89
1328,Tren Thomas 4797,Juguetes,13808.45
1329,Laptop Lenovo 8946,Electrónica,5102.25
1330,Falda Bershka 4022,Ropa,6162.57
1331,Lapicera Maped 1626,Papelería,17490.77
1332,Monitor Dell 571,Electrónica,18060.17
1333,Tijeras Fiskars 5618,Papelería,19749.05
1334,Tacones Steve Madden 7856,Calzado,15948.51
1335,Figura Funko Pop 3891,Juguetes,19672.78
1336,Monitor Dell 780,Electrónica,13614.52
1337,Tablet Apple 398,Electrónica,18506.88
1338,Tostadora Hamilton 2825,Hogar,10141.63
1339,Libreta 90 hojas Scribe 9933,Papelería,1640.13
1340,Mocasines Gucci 6516,Calzado,2099.58
1341,Teléfono Samsung 6415,Electrónica,13231.5
1342,Carpeta Office Depot 3306,Papelería,4313.26
1343,Jeans Wrangler 1574,Ropa,16006.3
1344,Monitor Dell 5173,Electrónica,2373.22
1345,Laptop Lenovo 8155,Electrónica,19024.25
1346,Audífonos Sony 9958,Electrónica,7345.4
1347,Rompecabezas Ravensburger 6503,Juguetes,19148.07
1348,Lapicera Maped 4069,Papelería,2987.05
1349,Carpeta Office Depot 782,Papelería,9499.76
1350,Rompecabezas Ravensburger 8932,Juguetes,13028.58
1351,Plancha Philips 4888,Hogar,14022.73
1352,Tablet Apple 4042,Electrónica,5997.9
1353,Short Puma 1073,Ropa,18970.6
1354,Drone DJI Mini 2825,Juguetes,8372.88
1355,Corrector Paper Mate 5311,Papelería,10809.73
1356,Set Playmobil 9384,Juguetes,11100.83
1357,Sudadera Adidas 3027,Ropa,9755.24
1358,Rompecabezas Ravensburger 4616,Juguetes,6850.37
1359,Lego Star Wars 2883,Juguetes,6167.63
1360,Plancha Philips 4520,Hogar,9047.97
1361,Tostadora Hamilton 3997,Hogar,9029.25
1362,Lapicera Maped 9534,Papelería,17225.34
1363,Tacones Steve Madden 2586,Calzado,3638.34
1364,Vestido Zara 7278,Ropa,9479.67
1365,Tostadora Hamilton 6298,Hogar,10152.62
1366,Cafetera Nespresso 1649,Hogar,2674.19
1367,Tablet Apple 3400,Electrónica,12847.07
1368,Traje Hugo Boss 3037,Ropa,18299.51
1369,Chanclas Adidas 6188,Calzado,8379.65
1370,Set Playmobil 4083,Juguetes,2382.12
1371,Resaltadores Stabilo 222,Papelería,11498.29
1372,Polo Lacoste 3484,Ropa,5035.86
1373,Tijeras Fiskars 5957,Papelería,16413.24
1374,Consola Xbox 4689,Electrónica,2494.75
1375,Tostadora Hamilton 906,Hogar,3990.11
1376,Resaltadores Stabilo 4612,Papelería,4734.74
1377,Cafetera Nespresso 2357,Hogar,1697.43
1378,Chanclas Adidas 6175,Calzado,15307.03
1379,Chanclas Adidas 2446,Calzado,6772.05
1380,Sandalias Crocs 7948,Calzado,13837.38
1381,Tenis Converse 2203,Calzado,19018.24
1382,Tijeras Fiskars 8567,Papelería,3318.52
1383,Lego Star Wars 53,Juguetes,15122.59
1384,Rompecabezas Ravensburger 8787,Juguetes,7251.06
1385,Short Puma 2401,Ropa,14142.96
1386,Monitor Dell 3869,Electrónica,19731.91
1387,Cámara Canon 268,Electrónica,103.88
1388,Tijeras Fiskars 7035,Papelería,3026.2
1389,Lapicera Maped 2560,Papelería,14282.45
1390,Refrigerador Mabe 4885,Hogar,6892.53
1391,Licuadora Oster 8942,Hogar,4125.17
1392,Plancha Philips 1276,Hogar,2070.23
1393,Laptop Lenovo 9056,Electrónica,18859.13
1394,Carro Hot Wheels 7923,Juguetes,4519.99
1395,Tenis Converse 3112,Calzado,1071.74
1396,Consola Xbox 5353,Electrónica,17317.18
1397,Tenis Converse 2290,Calzado,19526.87
1398,Pantalón Levi's 9488,Ropa,4760.77
1399,Tijeras Fiskars 2956,Papelería,6794.78
1400,Zapatos Clarks 7792,Calzado,16553.37
1401,Carro Hot Wheels 7316,Juguetes,13379.19
1402,Sudadera Adidas 3770,Ropa,18941.47
1403,Ventilador Taurus 9658,Hogar,7344.12
1404,Tijeras Fiskars 3249,Papelería,12170.31
1405,Sandalias Crocs 9218,Calzado,2799.71
1406,Licuadora Oster 2072,Hogar,5706.5
1407,Tenis Converse 6234,Calzado,15800.28
1408,Plancha Philips 6104,Hogar,2978.58
1409,Muñeca Barbie 5723,Juguetes,7493.32
1410,Polo Lacoste 3680,Ropa,11601.84
1411,Figura Funko Pop 321,Juguetes,10794.44
1412,Jeans Wrangler 3225,Ropa,954.72
1413,Consola Xbox 4738,Electrónica,11809.85
1414,Carro Hot Wheels 3287,Juguetes,9892.03
1415,Falda Bershka 2192,Ropa,1935.29
1416,Pluma Bic 4712,Papelería,14059.26
1417,Laptop Lenovo 4501,Electrónica,16255.84
1418,Teléfono Samsung 7830,Electrónica,3393
1419,Jeans Wrangler 612,Ropa,531.89
1420,Zapatillas Skechers 500,Calzado,14052.65
1421,Rompecabezas Ravensburger 4883,Juguetes,7167.1
1422,Short Puma 1475,Ropa,18071.78
1423,Cafetera Nespresso 5775,Hogar,5921.88
1424,Carpeta Office Depot 3892,Papelería,14341.04
1425,Bocina JBL 4629,Electrónica,9778.44
1426,Post-it 3M 2887,Papelería,2686.08
1427,Pelota Nerf 5308,Juguetes,18328.47
1428,Monitor Dell 6054,Electrónica,3987.58
1429,Cuaderno Oxford 5422,Papelería,15098.88
1430,Tablet Apple 6537,Electrónica,13816.16
1431,Licuadora Oster 8524,Hogar,10265.05
1432,Chamarra North Face 8336,Ropa,8726.79
1433,Post-it 3M 3653,Papelería,16036.36
1434,Libreta 90 hojas Scribe 7321,Papelería,7179.1
1435,Zapatillas Skechers 8244,Calzado,18425.79
1436,Carro Hot Wheels 9287,Juguetes,5888.26
1437,Refrigerador Mabe 168,Hogar,17520.6
1438,Zapatillas Skechers 5999,Calzado,3674.44
1439,Puzzle 3D CubicFun 6802,Juguetes,5288.79
1440,Monitor Dell 3183,Electrónica,16186.55
1441,Cuaderno Oxford 3706,Papelería,11056.77
1442,Vestido Zara 8456,Ropa,14692.78
1443,Smartwatch Garmin 2156,Electrónica,7073.9
1444,Mocasines Gucci 5872,Calzado,4727.83
1445,Tostadora Hamilton 7954,Hogar,9578.7
1446,Lapicera Maped 6516,Papelería,19423.8
1447,Zapatos Clarks 1788,Calzado,4443.18
1448,Audífonos Sony 5141,Electrónica,14876.22
1449,Carpeta Office Depot 3150,Papelería,12478.27
1450,Botas Timberland 6034,Calzado,118.45
1451,Tenis Vans 2000,Calzado,4474.5
1452,Tenis Converse 8424,Calzado,5899.56
1453,Televisor LG 5535,Electrónica,14851.52
1454,Jeans Wrangler 5897,Ropa,5734.93
1455,Cuaderno Oxford 9061,Papelería,991.02
1456,Zapatillas Skechers 5512,Calzado,13231.07
1457,Chanclas Adidas 1232,Calzado,12291.69
1458,Teléfono Samsung 6697,Electrónica,11195.25
1459,Consola Xbox 3689,Electrónica,14331.3
1460,Horno Whirlpool 5687,Hogar,7089.81
1461,Jeans Wrangler 1303,Ropa,5496.53
1462,Ventilador Taurus 3030,Hogar,5021.1
1463,Tren Thomas 7042,Juguetes,18948.39
1464,Chanclas Adidas 9745,Calzado,7931.28
1465,Falda Bershka 3272,Ropa,10324.64
1466,Ventilador Taurus 9792,Hogar,19489.54
1467,Batidora KitchenAid 2415,Hogar,8022.61
1468,Resaltadores Stabilo 9465,Papelería,4239.02
1469,Consola Xbox 4087,Electrónica,13002.61
1470,Vestido Zara 169,Ropa,19909.3
1471,Tostadora Hamilton 1771,Hogar,767.79
1472,Cuaderno Oxford 4839,Papelería,5738.92
1473,Vestido Zara 7638,Ropa,15457.91
1474,Set Playmobil 1070,Juguetes,17948.81
1475,Muñeca Barbie 2619,Juguetes,2697.25
1476,Ventilador Taurus 9270,Hogar,5832.82
1477,Lapicera Maped 7344,Papelería,566.37
1478,Tablet Apple 3487,Electrónica,3830.45
1479,Audífonos Sony 8530,Electrónica,16561.68
1480,Vestido Zara 98,Ropa,2231.9
1481,Zapatos Clarks 6004,Calzado,3124.19
1482,Post-it 3M 4836,Papelería,18962.89
1483,Monitor Dell 3238,Electrónica,8864.26
1484,Chanclas Adidas 858,Calzado,6130.42
1485,Monitor Dell 3018,Electrónica,883.51
1486,Tijeras Fiskars 804,Papelería,16636.03
1487,Cafetera Nespresso 627,Hogar,6048.33
1488,Libreta 90 hojas Scribe 883,Papelería,19976.46
1489,Cuaderno Oxford 636,Papelería,7035.97
1490,Puzzle 3D CubicFun 6040,Juguetes,2745.01
1491,Ventilador Taurus 7264,Hogar,9267.73
1492,Lapicera Maped 2074,Papelería,4891.64
1493,Vestido Zara 8117,Ropa,7412.4
1494,Corrector Paper Mate 5026,Papelería,18060.79
1495,Corrector Paper Mate 7802,Papelería,6474.39
1496,Tostadora Hamilton 6381,Hogar,4032.39
1497,Jeans Wrangler 1548,Ropa,14543.2
1498,Tostadora Hamilton 9822,Hogar,11720.92
1499,Zapatos Clarks 4655,Calzado,11798.06
1500,Set Playmobil 9946,Juguetes,16789.46
1501,Cafetera Nespresso 3476,Hogar,9214.53
1502,Lapicera Maped 5114,Papelería,422.24
1503,Tijeras Fiskars 8513,Papelería,19779.82
1504,Pluma Bic 4371,Papelería,8417
1505,Cafetera Nespresso 9621,Hogar,6916.63
1506,Carro Hot Wheels 4493,Juguetes,17271.8
1507,Tenis Converse 6048,Calzado,1120.1
1508,Bocina JBL 8816,Electrónica,6138.96
1509,Audífonos Sony 4661,Electrónica,13129.86
1510,Sandalias Crocs 3748,Calzado,17647.55
1511,Drone DJI Mini 4993,Juguetes,19489.67
1512,Pluma Bic 5424,Papelería,5104.23
1513,Drone DJI Mini 2239,Juguetes,13677.31
1514,Botas Timberland 9816,Calzado,17175.15
1515,Lego Star Wars 4730,Juguetes,15870.29
1516,Zapatillas Skechers 4164,Calzado,12602.9
1517,Tacones Steve Madden 9919,Calzado,17321.35
1518,Tenis Converse 44,Calzado,12128.94
1519,Sandalias Crocs 9616,Calzado,19463.77
1520,Ventilador Taurus 9237,Hogar,10660.17
1521,Smartwatch Garmin 7305,Electrónica,7304.92
1522,Smartwatch Garmin 9826,Electrónica,6839.11
1523,Pluma Bic 3261,Papelería,12972.14
1524,Falda Bershka 6735,Ropa,11440.19
1525,Falda Bershka 8457,Ropa,13632.72
1526,Teléfono Samsung 9614,Electrónica,18693.49
1527,Bocina JBL 4606,Electrónica,5175.95
1528,Monitor Dell 6330,Electrónica,10653.65
1529,Sudadera Adidas 5280,Ropa,17097.19
1530,Batidora KitchenAid 2853,Hogar,16830.85
1531,Short Puma 627,Ropa,18952.39
1532,Sudadera Adidas 4784,Ropa,7022.97
1533,Chamarra North Face 7166,Ropa,17670.72
1534,Jeans Wrangler 7247,Ropa,14594.78
1535,Tostadora Hamilton 1982,Hogar,1402.26
1536,Lego Star Wars 8336,Juguetes,342.5
1537,Bocina JBL 8768,Electrónica,722.38
1538,Pelota Nerf 8035,Juguetes,16011.56
1539,Resaltadores Stabilo 5059,Papelería,11475.72
1540,Tren Thomas 3856,Juguetes,312.2
1541,Ventilador Taurus 3757,Hogar,15972.69
1542,Aspiradora Dyson 4012,Hogar,1457.52
1543,Pantalón Levi's 9951,Ropa,16718.49
1544,Tacones Steve Madden 9469,Calzado,5525.86
1545,Monitor Dell 3940,Electrónica,2149.95
1546,Refrigerador Mabe 124,Hogar,14253.94
1547,Zapatos Clarks 650,Calzado,14918.16
1548,Lapicera Maped 9407,Papelería,57.49
1549,Figura Funko Pop 3014,Juguetes,7575.83
1550,Botas Timberland 1858,Calzado,19080.17
1551,Rompecabezas Ravensburger 2498,Juguetes,4620.1
1552,Tablet Apple 3521,Electrónica,8985.17
1553,Consola Xbox 7507,Electrónica,12327.73
1554,Tablet Apple 4837,Electrónica,2859.15
1555,Sudadera Adidas 5716,Ropa,9506.93
1556,Botines Dr Martens 4576,Calzado,11005.95
1557,Rompecabezas Ravensburger 1847,Juguetes,18533.56
1558,Plancha Philips 4009,Hogar,16403.85
1559,Carro Hot Wheels 3835,Juguetes,6138.4
1560,Vestido Zara 2520,Ropa,937.12
1561,Polo Lacoste 3508,Ropa,17821.86
1562,Puzzle 3D CubicFun 9504,Juguetes,18404.59
1563,Tacones Steve Madden 3802,Calzado,737.3
1564,Sandalias Crocs 4665,Calzado,7955.29
1565,Smartwatch Garmin 6412,Electrónica,5838.17
1566,Audífonos Sony 5984,Electrónica,11799.5
1567,Lego Star Wars 3902,Juguetes,12881.38
1568,Consola Xbox 9271,Electrónica,7419.9
1569,Monitor Dell 315,Electrónica,8783.63
1570,Aspiradora Dyson 8898,Hogar,3680.74
1571,Marcadores Sharpie 8982,Papelería,1888.38
1572,Bocina JBL 7325,Electrónica,11609.1
1573,Ventilador Taurus 1717,Hogar,16898.16
1574,Muñeca Barbie 6580,Juguetes,14465.92
1575,Smartwatch Garmin 6812,Electrónica,7078.86
1576,Carpeta Office Depot 5510,Papelería,812.66
1577,Short Puma 5909,Ropa,8580.87
1578,Refrigerador Mabe 6114,Hogar,9647.48
1579,Tren Thomas 8177,Juguetes,5479.21
1580,Cuaderno Oxford 9451,Papelería,15785.12
1581,Aspiradora Dyson 1269,Hogar,125.75
1582,Tablet Apple 4265,Electrónica,10454.03
1583,Batidora KitchenAid 3328,Hogar,2525.29
1584,Marcadores Sharpie 8744,Papelería,13924.74
1585,Aspiradora Dyson 712,Hogar,15338.73
1586,Consola Xbox 8159,Electrónica,8393.45
1587,Aspiradora Dyson 1957,Hogar,11825.01
1588,Horno Whirlpool 4074,Hogar,7008.93
1589,Carro Hot Wheels 324,Juguetes,4078.46
1590,Zapatillas Skechers 3657,Calzado,1040.88
1591,Rompecabezas Ravensburger 269,Juguetes,11410.8
1592,Libreta 90 hojas Scribe 4719,Papelería,17849.85
1593,Libreta 90 hojas Scribe 2002,Papelería,4113.97
1594,Vestido Zara 8940,Ropa,4040.12
1595,Corrector Paper Mate 495,Papelería,3294.34
1596,Pelota Nerf 9262,Juguetes,17850
1597,Cafetera Nespresso 8205,Hogar,4944.14
1598,Polo Lacoste 6866,Ropa,11029.01
1599,Microondas Samsung 8058,Hogar,2144.95
1600,Tablet Apple 4650,Electrónica,4686.76
1601,Mocasines Gucci 6677,Calzado,2115.11
1602,Pantalón Levi's 8300,Ropa,16238.09
1603,Corrector Paper Mate 7777,Papelería,13447.26
1604,Cuaderno Oxford 4739,Papelería,13012.08
1605,Aspiradora Dyson 5413,Hogar,3922.33
1606,Botas Timberland 6792,Calzado,1637.91
1607,Aspiradora Dyson 8062,Hogar,5203.34
1608,Chamarra North Face 8974,Ropa,19807.4
1609,Tenis Vans 4391,Calzado,19975.05
1610,Rompecabezas Ravensburger 9184,Juguetes,18768.94
1611,Horno Whirlpool 5768,Hogar,11406.2
1612,Refrigerador Mabe 4774,Hogar,4098.7
1613,Puzzle 3D CubicFun 4079,Juguetes,8636.3
1614,Corrector Paper Mate 3946,Papelería,3160.87
1615,Tijeras Fiskars 9768,Papelería,13328.66
1616,Monitor Dell 9116,Electrónica,18639.31
1617,Pelota Nerf 8967,Juguetes,2082.28
1618,Camiseta marca Nike 5305,Ropa,6286.86
1619,Falda Bershka 149,Ropa,17980.16
1620,Tijeras Fiskars 9869,Papelería,5240.07
1621,Monitor Dell 2205,Electrónica,10363.55
1622,Botas Timberland 2955,Calzado,5830.37
1623,Zapatos Clarks 6420,Calzado,18080.72
1624,Consola Xbox 2130,Electrónica,17430.17
1625,Carpeta Office Depot 1159,Papelería,10073.66
1626,Traje Hugo Boss 4005,Ropa,16385.95
1627,Jeans Wrangler 9882,Ropa,15034.04
1628,Pantalón Levi's 4554,Ropa,8202.18
1629,Tablet Apple 7843,Electrónica,227.01
1630,Jeans Wrangler 8887,Ropa,17828.68
1631,Batidora KitchenAid 2531,Hogar,6344.5
1632,Corrector Paper Mate 468,Papelería,3114.46
1633,Puzzle 3D CubicFun 8241,Juguetes,12040.02
1634,Laptop Lenovo 2231,Electrónica,19254.03
1635,Microondas Samsung 7066,Hogar,7563.98
1636,Cuaderno Oxford 8663,Papelería,723.73
1637,Short Puma 574,Ropa,14073
1638,Carro Hot Wheels 7058,Juguetes,4140.82
1639,Jeans Wrangler 9259,Ropa,11297.78
1640,Consola Xbox 3426,Electrónica,5813.81
1641,Muñeca Barbie 6600,Juguetes,8459.02
1642,Smartwatch Garmin 4312,Electrónica,9077.56
1643,Muñeca Barbie 5735,Juguetes,9023.97
1644,Tacones Steve Madden 5207,Calzado,7928.33
1645,Vestido Zara 5315,Ropa,15144.52
1646,Jeans Wrangler 5308,Ropa,12551.33
1647,Bocina JBL 5158,Electrónica,7473.2
1648,Bocina JBL 2254,Electrónica,5027.55
1649,Aspiradora Dyson 6903,Hogar,16002.9
1650,Muñeca Barbie 8934,Juguetes,12339.29
1651,Traje Hugo Boss 2854,Ropa,11415.04
1652,Tostadora Hamilton 6364,Hogar,2651.9
1653,Zapatos Clarks 7229,Calzado,15082.63
1654,Pelota Nerf 3739,Juguetes,16215.36
1655,Falda Bershka 2847,Ropa,18190.46
1656,Pelota Nerf 8780,Juguetes,4409.14
1657,Tenis Converse 7891,Calzado,8452.07
1658,Smartwatch Garmin 5125,Electrónica,4778.01
1659,Puzzle 3D CubicFun 3480,Juguetes,5797.26
1660,Televisor LG 814,Electrónica,8563.1
1661,Puzzle 3D CubicFun 3571,Juguetes,2665.64
1662,Tenis Vans 5543,Calzado,1947.99
1663,Traje Hugo Boss 1782,Ropa,15633.86
1664,Falda Bershka 1557,Ropa,12982.69
1665,Carro Hot Wheels 2908,Juguetes,18838.56
1666,Monitor Dell 851,Electrónica,1464.81
1667,Tostadora Hamilton 7335,Hogar,6404.5
1668,Marcadores Sharpie 5715,Papelería,13016.05
1669,Tijeras Fiskars 4923,Papelería,14411.06
1670,Carro Hot Wheels 7925,Juguetes,19009.09
1671,Cuaderno Oxford 5927,Papelería,1878.72
1672,Drone DJI Mini 569,Juguetes,1968.62
1673,Lapicera Maped 8455,Papelería,14870.62
1674,Marcadores Sharpie 3858,Papelería,12262.87
1675,Short Puma 6701,Ropa,17243.07
1676,Figura Funko Pop 4829,Juguetes,3184.77
1677,Mocasines Gucci 8138,Calzado,11497.55
1678,Short Puma 6176,Ropa,18707.69
1679,Falda Bershka 9991,Ropa,16055.77
1680,Smartwatch Garmin 1579,Electrónica,4891.9
1681,Refrigerador Mabe 2420,Hogar,14868.3
1682,Mocasines Gucci 914,Calzado,3225.56
1683,Libreta 90 hojas Scribe 4077,Papelería,5179.87
1684,Libreta 90 hojas Scribe 9309,Papelería,14608.26
1685,Horno Whirlpool 3010,Hogar,13163.91
1686,Set Playmobil 9169,Juguetes,200.33
1687,Jeans Wrangler 7356,Ropa,18766.96
1688,Smartwatch Garmin 6992,Electrónica,4724.19
1689,Camiseta marca Nike 1462,Ropa,1452.7
1690,Cuaderno Oxford 640,Papelería,1849.35
1691,Camiseta marca Nike 5513,Ropa,1786.79
1692,Traje Hugo Boss 8850,Ropa,5634.72
1693,Chanclas Adidas 8998,Calzado,16282.15
1694,Televisor LG 2065,Electrónica,469.13
1695,Pelota Nerf 6084,Juguetes,17671.61
1696,Set Playmobil 7981,Juguetes,8281.34
1697,Teléfono Samsung 1335,Electrónica,6745.82
1698,Zapatos Clarks 4144,Calzado,4270.39
1699,Jeans Wrangler 5011,Ropa,1451.9
1700,Lego Star Wars 4357,Juguetes,11934.48
1701,Tenis Vans 6360,Calzado,2485.41
1702,Consola Xbox 3575,Electrónica,7620.67
1703,Licuadora Oster 307,Hogar,7266.1
1704,Botines Dr Martens 1524,Calzado,12537.24
1705,Batidora KitchenAid 4354,Hogar,11240.44
1706,Horno Whirlpool 3605,Hogar,9288.02
1707,Zapatillas Skechers 5951,Calzado,15923.33
1708,Camiseta marca Nike 2094,Ropa,19404.13
1709,Tenis Converse 442,Calzado,15008.52
1710,Televisor LG 6974,Electrónica,16266.19
1711,Tablet Apple 4397,Electrónica,18416.67
1712,Tijeras Fiskars 1328,Papelería,6652.91
1713,Licuadora Oster 9567,Hogar,8137.35
1714,Ventilador Taurus 4282,Hogar,11601.82
1715,Cuaderno Oxford 8042,Papelería,10400.09
1716,Mocasines Gucci 831,Calzado,13717.47
1717,Tenis Vans 3140,Calzado,14372.18
1718,Lapicera Maped 5329,Papelería,15083.11
1719,Drone DJI Mini 1565,Juguetes,17016.4
1720,Camiseta marca Nike 2406,Ropa,452.88
1721,Corrector Paper Mate 9635,Papelería,12081.34
1722,Sudadera Adidas 4311,Ropa,15497.94
1723,Short Puma 2792,Ropa,16629.99
1724,Figura Funko Pop 7421,Juguetes,13484.85
1725,Zapatillas Skechers 2844,Calzado,1961.62
1726,Libreta 90 hojas Scribe 5170,Papelería,14651.15
1727,Jeans Wrangler 8390,Ropa,7948
1728,Smartwatch Garmin 7184,Electrónica,12604.65
1729,Cámara Canon 6364,Electrónica,16950.81
1730,Botas Timberland 7580,Calzado,5015.32
1731,Chamarra North Face 5903,Ropa,19615.1
1732,Pluma Bic 3570,Papelería,2937.25
1733,Sandalias Crocs 6562,Calzado,11171.51
1734,Puzzle 3D CubicFun 2339,Juguetes,19307.98
1735,Vestido Zara 2290,Ropa,649.48
1736,Sandalias Crocs 1433,Calzado,18584.55
1737,Pantalón Levi's 1666,Ropa,4873.69
1738,Monitor Dell 5591,Electrónica,13889.35
1739,Puzzle 3D CubicFun 4503,Juguetes,6060.55
1740,Botas Timberland 5507,Calzado,12629.91
1741,Botines Dr Martens 5306,Calzado,16050.61
1742,Zapatillas Skechers 4458,Calzado,4785.54
1743,Jeans Wrangler 293,Ropa,1732.8
1744,Resaltadores Stabilo 8164,Papelería,10275.31
1745,Horno Whirlpool 8037,Hogar,13119.69
1746,Licuadora Oster 3503,Hogar,17095.96
1747,Bocina JBL 4652,Electrónica,13879.31
1748,Muñeca Barbie 648,Juguetes,13624.1
1749,Polo Lacoste 7833,Ropa,10161.12
1750,Aspiradora Dyson 9746,Hogar,6082.6
1751,Figura Funko Pop 5122,Juguetes,7758.44
1752,Figura Funko Pop 123,Juguetes,6610.71
1753,Pantalón Levi's 5125,Ropa,9900.15
1754,Tenis Converse 7208,Calzado,1542.88
1755,Tablet Apple 8024,Electrónica,13217.65
1756,Tijeras Fiskars 8317,Papelería,15720.6
1757,Lego Star Wars 7914,Juguetes,15168.68
1758,Tostadora Hamilton 2968,Hogar,10883.46
1759,Corrector Paper Mate 3119,Papelería,2305.56
1760,Tren Thomas 8957,Juguetes,5938.82
1761,Plancha Philips 6012,Hogar,2829.93
1762,Polo Lacoste 8819,Ropa,14803.62
1763,Pluma Bic 698,Papelería,2474.73
1764,Pelota Nerf 3736,Juguetes,5409.55
1765,Marcadores Sharpie 9007,Papelería,5608.43
1766,Tacones Steve Madden 4577,Calzado,17982.9
1767,Cuaderno Oxford 1757,Papelería,6783.98
1768,Mocasines Gucci 8762,Calzado,19243.98
1769,Smartwatch Garmin 1607,Electrónica,6811.1
1770,Microondas Samsung 188,Hogar,9975.16
1771,Lapicera Maped 7219,Papelería,3208.61
1772,Figura Funko Pop 3412,Juguetes,7299.96
1773,Lego Star Wars 8424,Juguetes,8627.83
1774,Carpeta Office Depot 9913,Papelería,16895.67
1775,Falda Bershka 817,Ropa,9044.73
1776,Polo Lacoste 326,Ropa,12610.91
1777,Tenis Converse 283,Calzado,16686.92
1778,Monitor Dell 1191,Electrónica,17899.5
1779,Cafetera Nespresso 1515,Hogar,5075.67
1780,Botines Dr Martens 6856,Calzado,13425.76
1781,Microondas Samsung 8807,Hogar,9162.75
1782,Drone DJI Mini 1510,Juguetes,10216.88
